cell,status,ts,host,driver,binary,ananke_rev,label,model,runtime,gpus,ctx,ubatch,batch,parallel,ngl,split,kv_type,kv_unified,flash_attn,n_cpu_moe,mmproj,draft,spec_type,threads,numa,cram,no_mmap,rtr,thp,embeddings,served,soak,concurrency,extra,repeat,arena_mib,out_buf_mib,cpu_kv_mib,cpu_model_mib,cpu_model_mapped,n_layer,n_embd,n_expert,n_expert_used,n_swa,n_vocab,arch,rss_total_kb,rss_anon_kb,rss_file_kb,rss_shmem_kb
6d64d1e6c65c,ok,2026-07-27T04:22:09,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,a71fc46,noise,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746548,245504,469980,31064
ac6353fb7237,ok,2026-07-27T04:22:15,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,a71fc46,noise,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,1,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746552,245508,469980,31064
91cf67c0f6ff,ok,2026-07-27T04:22:21,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,a71fc46,noise,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,2,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746556,245508,469984,31064
8887f8ea6770,ok,2026-07-27T04:22:27,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,a71fc46,noise,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,3,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746552,245508,469980,31064
44e42590f286,ok,2026-07-27T04:22:32,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,a71fc46,noise,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,4,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746548,245504,469980,31064
